started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2020-01-01 00:11:49.789000+00:00,2020-01-01 00:32:37.402000+00:00,1247,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.2318471509140636,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417
2020-01-01 00:15:47.185000+00:00,2020-01-01 00:24:48.541000+00:00,541,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2020-01-01 00:21:32.841000+00:00,2020-01-01 01:02:45.899000+00:00,2473,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2020-01-01 00:24:10.267000+00:00,2020-01-01 01:02:52.413000+00:00,2322,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2020-01-01 00:46:13.134000+00:00,2020-01-01 01:01:06.431000+00:00,893,1756,Western General Hospital,Porterfield Road,55.963453810934496,-3.232909305683961,1095,Dudley Gardens,Opposite Victoria Park on Newhaven Road,55.97593978299806,-3.191321207818646
2020-01-01 00:52:23.757000+00:00,2020-01-01 00:56:14.422000+00:00,230,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843
2020-01-01 01:00:30.362000+00:00,2020-01-01 01:06:09.719000+00:00,339,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.939000247888764,-3.173923554315593
2020-01-01 01:00:32.604000+00:00,2020-01-01 01:06:01.312000+00:00,328,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.939000247888764,-3.173923554315593
2020-01-01 01:07:50.026000+00:00,2020-01-01 01:11:38.249000+00:00,228,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1090,Hillside Crescent,East end of Hillside Crescent,55.95787194536338,-3.1758883709196652
2020-01-01 01:08:08.924000+00:00,2020-01-01 01:11:30.020000+00:00,201,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1090,Hillside Crescent,East end of Hillside Crescent,55.95787194536338,-3.1758883709196652
2020-01-01 01:08:10.169000+00:00,2020-01-01 01:38:07.151000+00:00,1796,1764,Craigleith Road,Next to Craigleith Hill Bus Stop,55.95657629337518,-3.237939788691392,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994
