,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
0,North,25 – 34,Female,4.0,4.0,4.0,Walk,Car,None,Walk,Car,None,1.0
1,East,45 – 54,Male,4.0,5.0,4.0,Walk,Cycle,Bus,Walk,Bus,Taxi/Private hire car,0.0
2,North,45 – 54,Male,5.0,5.0,5.0,Cycle,Walk,Bus,Walk,Bus,Cycle,1.0
3,South,35 – 44,Male,5.0,5.0,5.0,Walk,Bus,Cycle,Bus,Cycle,Walk,0.0
4,South,65 – 74,Male,4.0,3.0,3.0,Car,Taxi/Private hire car,Walk,Car,Taxi/Private hire car,Walk,1.0
5,East,55 – 64,Female,4.0,1.0,2.0,Bus,Car,Walk,Bus,Car,Walk,1.0
6,North,55 – 64,Male,1.0,1.0,2.0,Car,Cycle,Bus,Bus,Car,Cycle,1.0
7,North,35 – 44,Male,2.0,1.0,2.0,Bus,Car,Walk,Car,Bus,Walk,1.0
8,West,45 – 54,Male,5.0,5.0,4.0,Walk,Cycle,Car,Walk,Cycle,Bus,1.0
9,North,55 – 64,Male,3.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
10,South,55 – 64,Male,5.0,4.0,3.0,Bus,Walk,Car,Bus,Walk,Car,1.0
11,North,55 – 64,Male,4.0,4.0,4.0,Bus,Car,None,Bus,Car,None,1.0
12,North,35 – 44,Male,4.0,4.0,1.0,Bus,Cycle,Taxi/Private hire car,Bus,Tram,Cycle,0.0
13,East,35 – 44,Male,4.0,3.0,3.0,Walk,Car,Bus,Walk,Bus,Car,1.0
14,East,45 – 54,Male,5.0,5.0,5.0,Car,Bus,None,Car,Bus,None,2.0
15,Central,45 – 54,Male,2.0,2.0,1.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Tram,1.0
16,East,25 – 34,Male,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Bus,Taxi/Private hire car,Walk,0.0
17,Central,55 – 64,Female,3.0,4.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
19,South,45 – 54,Male,4.0,5.0,1.0,Car,Walk,Bus,Bus,Car,Walk,1.0
20,South,25 – 34,Male,4.0,4.0,4.0,Walk,Bus,None,Walk,Bus,None,1.0
21,North,45 – 54,Female,2.0,2.0,1.0,Car,Walk,None,Car,Walk,None,2.0
22,South,55 – 64,Female,1.0,3.0,2.0,Car,Walk,Bus,Car,Walk,Bus,2.0
23,Central,45 – 54,Male,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,None,0.0
25,East,55 – 64,Female,4.0,4.0,4.0,Car,Walk,None,Car,Walk,None,2.0
26,East,25 – 34,Female,4.0,4.0,4.0,Walk,Cycle,None,Walk,Cycle,None,0.0
27,West,16 – 24,Male,5.0,3.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
28,South,25 – 34,Female,5.0,5.0,5.0,Walk,Bus,Car,Bus,Car,Walk,1.0
29,West,16 – 24,Female,4.0,3.0,1.0,Car,Walk,None,Car,Taxi/Private hire car,Walk,2.0
30,North,25 – 34,Female,3.0,4.0,4.0,Car,Walk,None,Car,Walk,None,1.0
31,North,45 – 54,Female,5.0,5.0,5.0,Walk,None,,Bus,Walk,None,1.0
32,Central,35 – 44,Male,5.0,5.0,2.0,Car,Taxi/Private hire car,Bus,Car,Taxi/Private hire car,Bus,1.0
33,West,55 – 64,Male,1.0,3.0,1.0,Car,Taxi/Private hire car,Walk,Car,Tram,Walk,2.0
34,Central,25 – 34,Female,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,Taxi/Private hire car,0.0
35,Central,25 – 34,Female,4.0,3.0,1.0,Walk,Bus,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
36,West,45 – 54,Male,5.0,5.0,4.0,Walk,Cycle,Car,Bus,Cycle,Walk,1.0
37,East,55 – 64,Female,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
38,North,65 – 74,Female,1.0,1.0,1.0,Car,Walk,None,Bus,Walk,Car,2.0
40,East,55 – 64,Female,5.0,5.0,5.0,Walk,Bus,None,Bus,Walk,None,0.0
41,South,35 – 44,Male,5.0,5.0,4.0,Walk,Bus,None,Walk,Bus,None,0.0
42,North,25 – 34,Female,3.0,3.0,3.0,Walk,None,,None,,,0.0
43,South,35 – 44,Female,5.0,5.0,5.0,Car,Walk,None,Car,Walk,Tram,1.0
44,East,45 – 54,Male,4.0,5.0,4.0,Walk,Car,None,Car,Walk,None,1.0
45,West,65 – 74,Male,2.0,2.0,2.0,Walk,Car,Bus,Bus,Walk,Tram,2.0
46,West,35 – 44,Female,4.0,4.0,4.0,Walk,Bus,None,Bus,Tram,Walk,0.0
47,West,55 – 64,Male,4.0,5.0,3.0,Walk,Bus,Car,Walk,Bus,Car,1.0
48,East,45 – 54,Male,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,None,0.0
50,South,55 – 64,Female,4.0,4.0,3.0,None,,,Bus,Car,Taxi/Private hire car,1.0
51,South,55 – 64,Female,4.0,3.0,3.0,Walk,Car,Taxi/Private hire car,Walk,Bus,Car,0.0
52,Central,25 – 34,Female,3.0,3.0,3.0,Car,Taxi/Private hire car,Motorcycle,Car,Tram,Walk,2.0
