started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-06-01 00:27:56.738000+00:00,2019-06-01 00:32:04.798000+00:00,248,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.960929747664,-3.1810053147805775,820,Newkirkgate,19 point docking station beside queen victoria monument,55.97070402016615,-3.1716239961015162
2019-06-01 00:34:17.456000+00:00,2019-06-01 00:45:35.424000+00:00,677,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815,290,Bruntsfield,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956
2019-06-01 00:35:34.318000+00:00,2019-06-01 00:49:15.761000+00:00,821,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815,290,Bruntsfield,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956
2019-06-01 00:40:03.337000+00:00,2019-06-01 01:36:16.625000+00:00,3373,648,Western General,Western General virtual station across from public multi storey,55.96345848770889,-3.23280956008216,356,East London Street,Outside St. Mary's Primary School,55.95994339132352,-3.187329201962484
2019-06-01 01:01:30.562000+00:00,2019-06-01 01:10:52.881000+00:00,562,868,Dundas Street,Corner of Dundas Street & Henderson Row,55.96094446922441,-3.2013869942491056,354,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.971268912190844,-3.2078157175304796
2019-06-01 01:08:47.913000+00:00,2019-06-01 01:29:54.720000+00:00,1266,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,865,Craigleith Road,Craigleith road by bus stop,55.95661859471628,-3.2378029682010947
2019-06-01 01:24:05.089000+00:00,2019-06-01 01:27:36.536000+00:00,211,356,East London Street,Outside St. Mary's Primary School,55.95994339132352,-3.187329201962484,357,Macdonald Road,Macdonald Road,55.963995150971236,-3.1851887678931234
2019-06-01 01:35:31.706000+00:00,2019-06-01 01:41:49.046000+00:00,377,820,Newkirkgate,19 point docking station beside queen victoria monument,55.97070402016615,-3.1716239961015162,273,Shrubhill,Sainsbury's Leith Walk,55.96253727246136,-3.179472670388236
2019-06-01 02:29:51.486000+00:00,2019-06-01 02:48:05.927000+00:00,1094,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245
2019-06-01 02:29:59.447000+00:00,2019-06-01 02:48:13.753000+00:00,1094,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245
2019-06-01 02:30:34.587000+00:00,2019-06-01 02:40:33.787000+00:00,599,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825
2019-06-01 02:34:25.336000+00:00,2019-06-01 02:41:32.231000+00:00,426,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825
2019-06-01 02:35:13.060000+00:00,2019-06-01 02:41:42.478000+00:00,389,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825
2019-06-01 02:38:27.780000+00:00,2019-06-01 02:48:01.067000+00:00,573,881,Tollcross,Outside Piccolino,55.94428069681837,-3.2029643592377397,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245
2019-06-01 02:41:24.150000+00:00,2019-06-01 03:41:43.962000+00:00,3619,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,864,Whitehouse Road,Whitehouse road by Sainbury's & bus stop,55.96152699979099,-3.3061141754915297
